N,repeat,scenario,accuracy,rmse,r2,type1,type2,tp,tn,fp,fn,tp_rate,tn_rate,fp_rate,fn_rate,lead_rate,stop_rate,continue_rate,n_should_continue,n_successful_predictions,learned_kernel,learned_length_scale,warning_count
5,16,A,0.2,82.72268318147457,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,16,B,0.2,82.72268318147457,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,17,A,1.0,113.70420448912427,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,17,B,1.0,113.70420448912427,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,18,A,0.2,119.29107644385294,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,18,B,0.2,119.29107644385294,0.0,0,4,1,0,4,0,0.2,0.0,0.8,0.0,0.0,0.0,1.0,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,19,A,1.0,105.25606829056667,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,19,B,1.0,105.25606829056667,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
5,20,A,1.0,122.13035317033378,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.26666666666666666,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1, 1])",1;1;1;1;1,1
5,20,B,1.0,122.13035317033378,0.0,0,0,1,4,0,0,0.2,0.8,0.0,0.0,0.5333333333333333,0.8,0.2,1,5,"0.0316**2 * RBF(length_scale=[1, 1, 1, 1])",1;1;1;1,1
