paper_A_doi,paper_B_doi,n_records_A,n_records_B,shared_buckets_with_value,n_shared_buckets_with_value,shared_buckets_with_range_in_A,shared_endpoint_kinds,shared_endpoint_units,shared_time_points,shared_membrane_types,compatibility_class,notes
10.1016/j.ejpb.2020.05.013,10.1208/s12249-019-1481-1,12,10,,0,,cumulative_amount,ug/cm^2,0.75h;1.5h;2.5h;7.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1208/s12249-019-1584-8,12,10,,0,,cumulative_amount,ug/cm^2,0.25h;3.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1248/cpb.c21-00033,12,14,,0,,cumulative_amount,ug/cm^2,7.5h,silicone;silicone membrane,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1371/journal.pone.0118536,12,3,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1371/journal.pone.0156931,12,8,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1523/jneurosci.15-04-02768.1995,12,9,,0,,cumulative_amount;unknown,,0.25h;1.42h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1523/jneurosci.5741-07.2008,12,5,,0,,cumulative_amount,ug/cm^2,0.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.1593/neo.121890,12,4,,0,,cumulative_amount,,72h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.18433/j3160b,12,6,,0,,cumulative_amount,,7.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.21203/rs.3.rs-3773667/v1,12,3,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.3389/fphar.2024.1355283,12,3,,0,,cumulative_amount,,0.75h;3.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.3389/fphys.2016.00263,12,4,,0,,unknown,,12h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ejpb.2020.05.013,10.4103/jomfp.jomfp_253_19,12,19,,0,,,,0.291h;0.583h;1.5h;2.5h;3.5h;4.5h;5.5h;6.5h;8h;12h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1007/s11095-008-9785-y,27,12,,0,,cumulative_amount,ug/cm^2,0.083h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1007/s11095-024-03747-6,27,9,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1007/s13346-022-01182-x,27,6,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1016/j.ejpb.2020.05.013,27,12,,0,,cumulative_amount,ug/cm^2,0.333h;5.5h,silicone membrane,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1016/j.ijpharm.2019.118975,27,6,,0,,cumulative_amount,ug/cm^2,0.333h,human skin,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1021/acs.molpharmaceut.0c00720,27,7,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1038/s41598-024-57883-5,27,10,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1038/srep08114,27,3,,0,,cumulative_amount,,0.583h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1039/d0ra00100g,27,8,,0,,cumulative_amount,ug/cm^2,,porcine skin,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1172/jci2614,27,4,,0,,cumulative_amount,ug/cm^2,0.35h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1186/2050-6511-13-5,27,27,,0,,cumulative_amount,ug/cm^2,6h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1208/s12249-013-9995-4,27,24,,0,,cumulative_amount,ug/cm^2,48h,porcine skin,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1208/s12249-019-1481-1,27,10,,0,,cumulative_amount,ug/cm^2,0.583h,porcine skin,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1208/s12249-019-1584-8,27,10,,0,,cumulative_amount,ug/cm^2,0.083h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1248/cpb.c21-00033,27,14,,0,,cumulative_amount,ug/cm^2,,silicone membrane,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1371/journal.pone.0118536,27,3,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1371/journal.pone.0156931,27,8,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1523/jneurosci.15-04-02768.1995,27,9,,0,,cumulative_amount,,0.083h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1523/jneurosci.5741-07.2008,27,5,,0,,cumulative_amount,ug/cm^2,0.333h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.1593/neo.121890,27,4,,0,,cumulative_amount,,48h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.18433/j3160b,27,6,,0,,cumulative_amount,,48h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.21203/rs.3.rs-3773667/v1,27,3,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.3389/fphar.2024.1355283,27,3,,0,,cumulative_amount,,0.583h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.3389/fphys.2016.00263,27,4,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2016.03.043,10.4103/jomfp.jomfp_253_19,27,19,,0,,,,0.125h;5.5h;48h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1007/s11095-008-9785-y,6,12,,0,,cumulative_amount,ug/cm^2,0.25h;0.75h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1007/s11095-024-03747-6,6,9,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1007/s13346-022-01182-x,6,6,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1016/j.ejpb.2020.05.013,6,12,,0,,cumulative_amount,ug/cm^2,0.5h;1h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1016/j.ijpharm.2016.03.043,6,27,,0,,cumulative_amount,ug/cm^2,0.333h,human skin,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1021/acs.molpharmaceut.0c00720,6,7,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1038/s41598-024-57883-5,6,10,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1038/srep08114,6,3,,0,,cumulative_amount,,0.75h;1.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1039/d0ra00100g,6,8,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1172/jci2614,6,4,,0,,cumulative_amount,ug/cm^2,0.517h;1h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1186/2050-6511-13-5,6,27,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1208/s12249-013-9995-4,6,24,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1208/s12249-019-1481-1,6,10,,0,,cumulative_amount,ug/cm^2,0.75h;1.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1208/s12249-019-1584-8,6,10,,0,,cumulative_amount,ug/cm^2,0.25h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1248/cpb.c21-00033,6,14,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1371/journal.pone.0118536,6,3,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1371/journal.pone.0156931,6,8,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1523/jneurosci.15-04-02768.1995,6,9,,0,,cumulative_amount,,0.25h;1.42h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1523/jneurosci.5741-07.2008,6,5,,0,,cumulative_amount,ug/cm^2,0.5h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.1593/neo.121890,6,4,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.18433/j3160b,6,6,,0,,cumulative_amount,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.21203/rs.3.rs-3773667/v1,6,3,,0,,cumulative_amount,ug/cm^2,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.3389/fphar.2024.1355283,6,3,,0,,cumulative_amount,,0.75h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.3389/fphys.2016.00263,6,4,,0,,,,,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
10.1016/j.ijpharm.2019.118975,10.4103/jomfp.jomfp_253_19,6,19,,0,,,,0.291h;0.583h,,INCOMPATIBLE,No shared formulation-factor bucket with numeric/range values.
