k,feature_set,repeat_idx,child_seed,rmse_logJ,mae_logJ,bias_logJ,spearman_rho,pearson_r,within_2x_ratio,top3_hit,test_n
5,composition_plus_solubility,5,1206282609,0.09406816756,0.06791254382,-0.02132813864,0.8571428571,0.8825354768,1,0.6666666667,7
5,composition_plus_solubility,6,3543069911,0.1004305536,0.07242446925,0.01007199506,0.6071428571,0.8684247789,1,0.6666666667,7
5,composition_plus_solubility,7,3479688010,0.1135148307,0.09294814181,-0.003680382049,0.5357142857,0.7923050616,1,0.6666666667,7
5,composition_plus_solubility,8,877132087,0.07251731694,0.0658108363,0.01542173858,0.7857142857,0.9175736666,1,0.6666666667,7
5,composition_plus_solubility,9,1244265337,0.1180072869,0.09746848794,-0.03275996206,0.7857142857,0.8194327115,1,0.6666666667,7
5,composition_plus_solubility,10,2740186692,0.1148714872,0.1051299346,0.02925596084,0.4285714286,0.4568990484,1,0.3333333333,7
5,composition_plus_solubility,11,3884972972,0.1251142459,0.08767503754,-0.0853233938,0.7857142857,0.7663111234,1,0.6666666667,7
5,composition_plus_solubility,12,829139639,0.2046818301,0.1560998783,0.1446685345,0.75,0.7785860157,0.8571428571,0.6666666667,7
5,composition_plus_solubility,13,2545567356,0.09490136313,0.06273046749,-0.05119148586,0.8214285714,0.8038115732,1,0.6666666667,7
5,composition_plus_solubility,14,2718398101,0.07191887034,0.06205786924,0.05964091365,0.8571428571,0.7956410268,1,1,7
5,composition_plus_solubility,15,176092387,0.1100366331,0.08960646465,-0.01757779382,0.5357142857,0.7321387104,1,0.3333333333,7
5,composition_plus_solubility,16,3528048386,0.09678912462,0.07249448448,0.03904514594,0.5357142857,0.779840399,1,0.3333333333,7
5,composition_plus_solubility,17,569531098,0.09875253094,0.07598152901,0.000760183866,0.7142857143,0.7902055014,1,0.6666666667,7
5,composition_plus_solubility,18,1337295874,0.1386733614,0.1085128675,0.07031205988,0.5,0.5055264713,1,0.6666666667,7
5,composition_plus_solubility,19,612016888,0.1160042251,0.09963332925,0.08105689348,0.6785714286,0.8857727372,1,0.6666666667,7
5,composition_plus_solubility,20,232150720,0.1117481016,0.0905448187,0.05754906438,0.4642857143,0.840220105,1,0.3333333333,7
5,composition_plus_solubility,21,2324106676,0.06485452976,0.05474633987,0.003732719076,0.8571428571,0.8969737246,1,0.6666666667,7
5,composition_plus_solubility,22,1658700540,0.1447205928,0.1135049165,-0.09744079641,0.6071428571,0.6150439177,1,0.6666666667,7
