formulation_id,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,design_group,design_method,design_stage_order,source,t1,t2,t3,t4,t6,t8,t22,t24,t26,t28
Cf7,3,20.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),4.208955223880597,10.395522388059703,15.806268656716421,22.280000000000005,42.3889552238806,61.14089552238807,201.51880597014923,221.28746268656715,242.14417910447764,262.34507462686565
Cf7,4,20.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.97910447761194,7.832537313432836,16.383880597014926,19.743582089552238,34.01373134328358,48.86776119402986,158.8268656716418,172.40417910447763,191.0068656716418,207.83253731343285
Cf7,5,20.0,20.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),4.94925373134329,11.3997014925373,19.4349253731343,21.8828358208955,40.9498507462687,59.6452238805971,179.857462686567,194.730895522388,215.570597014925,234.169701492537
Cf8,1,30.0,10.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),0.8298507462686568,5.295223880597016,14.19671641791045,19.882388059701494,36.014626865671644,61.56298507462687,226.54238805970152,248.27074626865675,270.3623880597015,293.57283582089553
Cf8,2,30.0,10.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.8507462686567164,5.561194029850747,9.918208955223884,14.234626865671641,24.354925373134332,34.64328358208955,120.65462686567166,132.90447761194034,145.5474626865672,158.8976119402985
Cf8,3,30.0,10.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.3701492537313436,9.306567164179105,17.240597014925374,25.97223880597015,43.65402985074627,62.970447761194045,200.88746268656718,219.8471641791045,238.87761194029852,257.82179104477615
Cf8,4,30.0,10.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.9940298507462693,8.862388059701493,19.45671641791045,33.012835820895525,49.54597014925374,66.61820895522389,225.41313432835824,244.1740298507463,255.41432835820896,286.19910447761197
Cf8,5,30.0,10.0,15.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.5611940298507463,8.916119402985077,20.340597014925375,34.26656716417911,46.43940298507463,68.02865671641791,224.72656716417913,244.38029850746273,255.63432835820902,285.56358208955226
Cf9,1,20.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.573134328358209,8.78537313432836,17.421194029850746,25.577611940298514,43.07283582089552,61.95552238805972,204.564776119403,225.2537313432836,246.5083582089553,267.60149253731345
Cf9,2,20.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.8985074626865672,7.366567164179105,11.515223880597016,17.656119402985077,33.41373134328359,48.50865671641791,172.21970149253735,189.13194029850746,206.44358208955225,223.75910447761197
Cf9,3,20.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),0.17910447761194032,2.4149253731343285,6.82179104477612,11.293731343283584,21.7934328358209,31.626865671641795,114.22238805970152,126.83194029850748,140.05194029850747,153.35194029850746
Cf9,4,20.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.6597014925373137,5.760597014925374,11.90716417910448,17.05134328358209,29.695522388059704,42.93761194029852,156.1092537313433,172.07582089552238,187.00059701492538,203.78358208955225
Cf9,5,20.0,15.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),5.856716417910449,9.779402985074627,16.522388059701495,23.322089552238804,38.04029850746269,54.66388059701493,200.5853731343284,217.51014925373136,236.51641791044779,255.98268656716422
Cf10,1,25.0,10.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),0.6567164179104479,4.420895522388061,9.917910447761196,17.463880597014928,28.777910447761197,45.05761194029851,161.8385074626866,178.42477611940302,195.52,211.99940298507465
Cf10,2,25.0,10.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.3074626865671644,4.423582089552239,7.99671641791045,12.262985074626867,22.114328358208954,28.07701492537314,157.79014925373133,173.93641791044777,193.68656716417914,211.0086567164179
Cf10,3,25.0,10.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.7880597014925375,10.63492537313433,18.59253731343284,28.390447761194032,49.57074626865673,71.5758208955224,242.89880597014928,266.9325373134329,290.41194029850755,313.5650746268658
Cf10,4,25.0,10.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.074626865671642,5.295522388059702,11.641194029850746,19.150746268656714,25.353731343283588,50.81820895522389,176.27313432835825,194.02447761194034,231.21522388059702,231.5585074626866
Cf10,5,25.0,10.0,10.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.14029850746268,8.40253731343284,15.9785074626866,24.6140298507463,35.7501492537314,64.0773134328359,216.80328358209,238.278358208955,278.661194029851,282.341343283582
Cf11,1,20.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.128358208955224,10.066865671641791,18.108656716417915,27.45910447761194,48.27223880597016,70.37164179104478,242.49522388059705,261.27671641791045,283.96417910447764,308.4008955223881
Cf11,2,20.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.253731343283583,10.491044776119404,18.010447761194033,25.975522388059705,43.04776119402985,61.76626865671641,202.52597014925377,215.58417910447764,235.58417910447764,258.2379104477612
Cf11,3,20.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),2.4656716417910447,8.708358208955225,15.245074626865671,22.8334328358209,38.51373134328359,55.10925373134329,181.0710447761194,197.86626865671641,207.1429850746269,231.8005970149254
Cf11,4,20.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.116417910447762,8.890149253731344,16.479104477611944,24.58089552238806,40.87492537313433,58.91671641791046,192.78567164179108,213.21791044776123,234.96597014925376,257.02895522388064
Cf11,5,20.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.576119402985075,9.880298507462689,18.40716417910448,27.168955223880605,45.33940298507463,65.80507462686568,203.38597014925375,222.29014925373133,242.7785074626866,262.40567164179106
Cf12,1,30.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.2000000000000002,7.325671641791046,13.623283582089552,19.96686567164179,34.803582089552236,50.2334328358209,168.29910447761193,187.5605970149254,204.10776119402988,221.15014925373137
Cf12,2,30.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),1.1761194029850748,4.996119402985075,10.1444776119403,16.98268656716418,31.32029850746269,46.46567164179104,176.75970149253732,196.4808955223881,214.4131343283582,232.3853731343284
Cf12,3,30.0,15.0,20.0,BBD,Box-Behnken design,1,Paper 1 (this study),3.653731343283582,10.09313432835821,18.09313432835821,26.289253731343287,43.79492537313433,62.41253731343284,199.56597014925376,219.79134328358208,239.79014925373139,258.8617910447761
