scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
baseline_10,10,False,,5,holdout,12.251756020269207,50,50,10,10,0,22.77008827419773,-0.11277773464410812,240.409168
baseline_10,10,False,,6,holdout,12.644813269304128,50,50,10,10,0,23.133195984833097,-0.04246211787501819,246.518246
baseline_10,10,False,,7,holdout,12.024732849340953,50,50,10,10,0,22.61650790296715,-0.024719385907348457,246.01627799999997
baseline_10,10,False,,8,holdout,12.65155598002868,50,50,10,10,0,24.723541486672747,-0.0015077365878448656,243.159666
baseline_10,10,False,,9,holdout,11.319309889491489,50,50,10,10,0,18.585360184278247,-0.02386199797861832,242.56564999999995
augmented_10,10,True,3.0,0,holdout,12.744171136359586,50,50,10,10,60,3562.1719535418733,-21357.776016124702,246.767476
augmented_10,10,True,5.0,0,holdout,12.744171136359586,50,50,10,10,60,3491.307897832016,-20516.427300652864,246.767476
augmented_10,10,True,10.0,0,holdout,12.744171136359586,50,50,10,10,60,3461.162065885835,-20163.63995676004,246.767476
augmented_10,10,True,20.0,0,holdout,12.744171136359586,50,50,10,10,60,3454.5242124935617,-20086.370200653644,246.767476
augmented_10,10,True,3.0,1,holdout,13.531237993003543,50,50,10,10,60,3671.6482756336322,-41931.452977376095,234.88745
augmented_10,10,True,5.0,1,holdout,13.531237993003543,50,50,10,10,60,3610.0094291246896,-40535.36467416461,234.88745
augmented_10,10,True,10.0,1,holdout,13.531237993003543,50,50,10,10,60,3582.8680849106345,-39928.122196552074,234.88745
augmented_10,10,True,20.0,1,holdout,13.531237993003543,50,50,10,10,60,3576.165072157664,-39778.85906623328,234.88745
augmented_10,10,True,3.0,2,holdout,10.734196490890529,50,50,10,10,60,3350.7487250984886,-22244.257381353134,245.36876
augmented_10,10,True,5.0,2,holdout,10.734196490890529,50,50,10,10,60,3254.498375060589,-20984.621278499086,245.36876
augmented_10,10,True,10.0,2,holdout,10.734196490890529,50,50,10,10,60,3212.6742731470877,-20448.707661496206,245.36876
augmented_10,10,True,20.0,2,holdout,10.734196490890529,50,50,10,10,60,3203.1567274483114,-20327.722641840854,245.36876
augmented_10,10,True,3.0,3,holdout,12.287948216137567,50,50,10,10,60,3560.998125776633,-31502.617038204782,234.53770799999998
augmented_10,10,True,5.0,3,holdout,12.287948216137567,50,50,10,10,60,3488.0153021419947,-30224.513818314983,234.53770799999998
augmented_10,10,True,10.0,3,holdout,12.287948216137567,50,50,10,10,60,3456.4438435261563,-29679.823063983942,234.53770799999998
augmented_10,10,True,20.0,3,holdout,12.287948216137567,50,50,10,10,60,3447.426969160952,-29525.16748044014,234.53770799999998
augmented_10,10,True,3.0,4,holdout,11.521779251620162,50,50,10,10,60,3456.2904494374015,-21224.93531207522,243.368678
augmented_10,10,True,5.0,4,holdout,11.521779251620162,50,50,10,10,60,3371.338558652564,-20194.337210525566,243.368678
augmented_10,10,True,10.0,4,holdout,11.521779251620162,50,50,10,10,60,3334.5745536522422,-19756.283753239735,243.368678
augmented_10,10,True,20.0,4,holdout,11.521779251620162,50,50,10,10,60,3325.4727357399825,-19648.574793972635,243.368678
augmented_10,10,True,3.0,5,holdout,12.251756020269207,50,50,10,10,60,3544.2244170477443,-26959.09543678795,240.409168
augmented_10,10,True,5.0,5,holdout,12.251756020269207,50,50,10,10,60,3467.5462007014703,-25805.167465075574,240.409168
augmented_10,10,True,10.0,5,holdout,12.251756020269207,50,50,10,10,60,3434.5816148464573,-25316.841721373476,240.409168
augmented_10,10,True,20.0,5,holdout,12.251756020269207,50,50,10,10,60,3427.1137072145216,-25206.862822595143,240.409168
augmented_10,10,True,3.0,6,holdout,12.644813269304128,50,50,10,10,60,3561.764229567529,-24711.651439356392,246.518246
augmented_10,10,True,5.0,6,holdout,12.644813269304128,50,50,10,10,60,3491.084094194714,-23740.58057383627,246.518246
augmented_10,10,True,10.0,6,holdout,12.644813269304128,50,50,10,10,60,3460.366742957636,-23324.62377527859,246.518246
augmented_10,10,True,20.0,6,holdout,12.644813269304128,50,50,10,10,60,3453.4199726038173,-23231.064267637907,246.518246
augmented_10,10,True,3.0,7,holdout,12.024732849340953,50,50,10,10,60,3502.9526565604933,-24581.29299040647,246.01627799999997
augmented_10,10,True,5.0,7,holdout,12.024732849340953,50,50,10,10,60,3422.5867541195207,-23466.281646092884,246.01627799999997
augmented_10,10,True,10.0,7,holdout,12.024732849340953,50,50,10,10,60,3389.96973947151,-23021.129798222984,246.01627799999997
augmented_10,10,True,20.0,7,holdout,12.024732849340953,50,50,10,10,60,3381.4050467724783,-22904.946823380542,246.01627799999997
augmented_10,10,True,3.0,8,holdout,12.65155598002868,50,50,10,10,60,3571.3843221096704,-20897.06726269998,243.159666
augmented_10,10,True,5.0,8,holdout,12.65155598002868,50,50,10,10,60,3501.5555975847333,-20087.846484573303,243.159666
