scenario,n_train,augment,alpha_factor,split_id,split_strategy,sigma_own,n_train_rows,n_test_rows,n_train_groups,n_test_groups,n_lit_rows,rmse,r2,y_test_mean
augmented_5,5,True,20.0,4,holdout,39.23889097479158,5,15,5,15,8,46.56029387653053,-1.2598447516717353,224.82569552238803
augmented_5,5,True,50.0,4,holdout,39.23889097479158,5,15,5,15,8,46.55998743327113,-1.2598150047842123,224.82569552238803
augmented_5,5,True,3.0,5,holdout,31.62339107540143,5,15,5,15,8,45.65777978667155,-1.2213062045448826,225.22374925373137
augmented_5,5,True,5.0,5,holdout,31.62339107540143,5,15,5,15,8,45.64768030036934,-1.2203236087862583,225.22374925373137
augmented_5,5,True,10.0,5,holdout,31.62339107540143,5,15,5,15,8,45.643106544105166,-1.2198786919717959,225.22374925373137
augmented_5,5,True,20.0,5,holdout,31.62339107540143,5,15,5,15,8,45.641980186038154,-1.2197691311811205,225.22374925373137
augmented_5,5,True,50.0,5,holdout,31.62339107540143,5,15,5,15,8,45.6419626838722,-1.2197674287676796,225.22374925373137
augmented_5,5,True,3.0,6,holdout,32.523236624296416,5,15,5,15,8,60.58922463872541,-3.1955112467729156,216.42635621890545
augmented_5,5,True,5.0,6,holdout,32.523236624296416,5,15,5,15,8,60.582839693026735,-3.194627040045691,216.42635621890545
augmented_5,5,True,10.0,6,holdout,32.523236624296416,5,15,5,15,8,60.58044615586102,-3.1942955997422997,216.42635621890545
augmented_5,5,True,20.0,6,holdout,32.523236624296416,5,15,5,15,8,60.57967775346748,-3.1941891995243124,216.42635621890545
augmented_5,5,True,50.0,6,holdout,32.523236624296416,5,15,5,15,8,60.57951736048848,-3.194166990175085,216.42635621890545
augmented_5,5,True,3.0,7,holdout,36.51403332382016,5,15,5,15,8,45.20390747004234,-0.7985283537951662,226.9692815920398
augmented_5,5,True,5.0,7,holdout,36.51403332382016,5,15,5,15,8,45.196100300267965,-0.7979071595471041,226.9692815920398
augmented_5,5,True,10.0,7,holdout,36.51403332382016,5,15,5,15,8,45.19256264436611,-0.7976257136742393,226.9692815920398
augmented_5,5,True,20.0,7,holdout,36.51403332382016,5,15,5,15,8,45.19197516340877,-0.7975789774880522,226.9692815920398
augmented_5,5,True,50.0,7,holdout,36.51403332382016,5,15,5,15,8,45.19140805255658,-0.797533862392031,226.9692815920398
augmented_5,5,True,3.0,8,holdout,37.603741534457434,5,15,5,15,8,46.851632450398235,-1.0191102923527695,225.5076736318408
augmented_5,5,True,5.0,8,holdout,37.603741534457434,5,15,5,15,8,46.844248072810366,-1.0184738706520342,225.5076736318408
augmented_5,5,True,10.0,8,holdout,37.603741534457434,5,15,5,15,8,46.84095719910534,-1.0181902794093718,225.5076736318408
augmented_5,5,True,20.0,8,holdout,37.603741534457434,5,15,5,15,8,46.84006458644877,-1.0181133618940206,225.5076736318408
augmented_5,5,True,50.0,8,holdout,37.603741534457434,5,15,5,15,8,46.84026287020291,-1.0181304481189946,225.5076736318408
augmented_5,5,True,3.0,9,holdout,28.960796805829442,5,15,5,15,8,46.97173136025312,-0.9894703758034837,225.54320199004977
