source,formulation_id,design_group,design_method,replicate,poloxamer_407_pct,ethanol_pct,propylene_glycol_pct,cumulative_amount_24h_ug_cm2
Paper 1 (this study),Cf17,LHS,Latin hypercube sampling,3,21.3,20.0,10.6,304.22477611940303
Paper 1 (this study),Cf17,LHS,Latin hypercube sampling,4,21.3,20.0,10.6,274.2710447761194
Paper 1 (this study),Cf17,LHS,Latin hypercube sampling,5,21.3,20.0,10.6,286.43223880597014
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,1,22.7,14.4,16.0,277.9185074626866
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,2,22.7,14.4,16.0,192.3361194029851
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,3,22.7,14.4,16.0,255.77074626865675
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,4,22.7,14.4,16.0,284.80925373134335
Paper 1 (this study),Cf18,LHS,Latin hypercube sampling,5,22.7,14.4,16.0,291.87343283582095
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,1,23.5,17.9,18.1,203.3961194029851
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,2,23.5,17.9,18.1,226.52985074626864
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,3,23.5,17.9,18.1,256.3826865671642
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,4,23.5,17.9,18.1,228.04149253731347
Paper 1 (this study),Cf19,LHS,Latin hypercube sampling,5,23.5,17.9,18.1,214.40895522388067
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,1,24.3,13.1,11.9,247.49164179104477
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,2,24.3,13.1,11.9,259.8086567164179
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,3,24.3,13.1,11.9,293.4322388059702
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,4,24.3,13.1,11.9,248.46865671641788
Paper 1 (this study),Cf20,LHS,Latin hypercube sampling,5,24.3,13.1,11.9,271.438955223881
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,1,25.5,10.1,14.8,257.464776119403
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,2,25.5,10.1,14.8,298.00328358208964
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,3,25.5,10.1,14.8,306.69313432835827
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,4,25.5,10.1,14.8,249.2179104477612
Paper 1 (this study),Cf21,LHS,Latin hypercube sampling,5,25.5,10.1,14.8,307.9382089552239
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,1,26.6,11.6,16.8,296.30656716417917
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,2,26.6,11.6,16.8,249.77343283582093
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,3,26.6,11.6,16.8,228.2376119402985
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,4,26.6,11.6,16.8,289.19164179104484
Paper 1 (this study),Cf22,LHS,Latin hypercube sampling,5,26.6,11.6,16.8,300.1373134328358
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,1,27.2,18.7,13.1,235.45223880597018
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,2,27.2,18.7,13.1,157.7582089552239
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,3,27.2,18.7,13.1,249.86119402985076
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,4,27.2,18.7,13.1,265.4817910447762
Paper 1 (this study),Cf23,LHS,Latin hypercube sampling,5,27.2,18.7,13.1,272.686268656716
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,1,28.3,15.5,12.7,323.5692537313433
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,2,28.3,15.5,12.7,279.80865671641794
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,3,28.3,15.5,12.7,266.59641791044777
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,4,28.3,15.5,12.7,288.34597014925373
Paper 1 (this study),Cf24,LHS,Latin hypercube sampling,5,28.3,15.5,12.7,225.8516417910448
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,1,29.2,12.9,19.6,239.3137313432836
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,2,29.2,12.9,19.6,236.72358208955225
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,3,29.2,12.9,19.6,287.1659701492537
Paper 1 (this study),Cf25,LHS,Latin hypercube sampling,4,29.2,12.9,19.6,297.92208955223884
