dedup_key,doi,pmid,year,journal,title,is_oa,oa_with_pdf_url,is_caffeine,is_nicotinamide,is_lidocaine,is_ibuprofen,has_flux_term,has_cumulative_term,has_kp_term,has_lag_term,has_franz,has_ivpt_acronym,has_skin_type,has_ivivc,has_pg_pct,has_etoh_pct,has_water_pct,has_mineral_oil_pct,has_ipm_pct,has_carbopol_pct,has_hpmc_pct,has_poloxamer_pct,has_gel_word_in_title,is_review,is_in_vivo_only,is_animal_pk_only,is_iontophoresis_or_microneedle,has_percent_range,percent_value_count,multi_formulation_terms,endpoint_signal_count,method_signal_count,with_quantitative_pct_in_abstract,modelling_ready_oa,candidate_score
doi:10.2147/ijn.s57314,10.2147/ijn.s57314,24489470,2014,International Journal of Nanomedicine,Evaluation of psoralen ethosomes for topical delivery in rats by using in vivo microdialysis.,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,,,,,False,False,False,False,False,0,3,0,0,False,False,13.2
doi:10.1155/2014/127495,10.1155/2014/127495,25045724,2014,The Scientific World Journal,Evaluation of skin permeation and analgesic activity effects of carbopol lornoxicam topical gels containing penetration enhancer.,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,0,7,1,1,False,False,36.2
doi:10.1007/s11095-013-1169-2,10.1007/s11095-013-1169-2,23943545,2014,Pharmaceutical research,In vitro-in vivo correlation in skin permeation.,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,,,,,False,False,False,False,False,0,6,0,1,False,False,25.2
doi:10.1016/j.ijpharm.2014.10.012,10.1016/j.ijpharm.2014.10.012,25305378,2014,International journal of pharmaceutics,Influence of lidocaine hydrochloride and penetration enhancers on the barrier function of human skin.,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,True,False,False,False,0,5,0,1,False,False,21.2
doi:10.1007/s13346-013-0186-3,10.1007/s13346-013-0186-3,25786727,2014,Drug delivery and translational research,Investigation of the transdermal transport of charged local anesthetics in the presence of triterpene saponin glycosides.,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,,,,,False,False,False,False,True,1,4,0,1,False,False,23.2
doi:10.3390/molecules191117107,10.3390/molecules191117107,25347456,2014,Molecules,"Microemulsion system for topical delivery of thai mango seed kernel extract: development, physicochemical characterisation and ex vivo skin permeation studies.",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,False,False,False,False,False,5,4,0,0,True,False,25.2
doi:10.1007/s13346-014-0204-0,10.1007/s13346-014-0204-0,25787204,2014,Drug delivery and translational research,Pouch drug delivery systems for dermal and transdermal administration.,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,1,2,0,0,False,False,10.2
doi:10.1371/journal.pone.0102850,10.1371/journal.pone.0102850,25068531,2014,PLoS ONE,The effect of nanoemulsion as a carrier of hydrophilic compound for transdermal delivery.,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,False,False,False,False,False,3,7,1,0,False,False,35.2
doi:10.1186/1746-6148-10-138,10.1186/1746-6148-10-138,24950611,2014,BMC veterinary research,The effects of chemical and physical penetration enhancers on the percutaneous permeation of lidocaine through equine skin.,True,True,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,,,,,False,False,False,True,True,7,3,1,1,True,True,35.2
doi:10.1208/s12249-014-0278-5,10.1208/s12249-014-0278-5,25591953,2015,AAPS PharmSciTech,"A novel topical targeting system of caffeine microemulsion for inhibiting UVB-induced skin tumor: characterization, optimization, and evaluation.",False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,False,False,False,False,False,5,10,0,0,True,False,49.25
